job_id,job_title,job_location,job_schedule_type,salary_year_avg,job_posted_date,company_name
226942,Data Analyst,Anywhere,Full-time,650000,13:33.0,Mantys
547382,Director of Analytics,Anywhere,Full-time,336500,04:42.0,Meta
552322,Associate Director- Data Insights,Anywhere,Full-time,255829.5,03:12.0,AT&T
99305,"Data Analyst, Marketing",Anywhere,Full-time,232423,00:40.0,Pinterest Job Advertisements
1021647,Data Analyst (Hybrid/Remote),Anywhere,Full-time,217000,17:23.0,Uclahealthcareers
168310,Principal Data Analyst (Remote),Anywhere,Full-time,205000,00:01.0,SmartAsset
731368,"Director, Data Analyst - HYBRID",Anywhere,Full-time,189309,00:13.0,Inclusively
310660,"Principal Data Analyst, AV Performance Analysis",Anywhere,Full-time,189000,00:25.0,Motional
1749593,Principal Data Analyst,Anywhere,Full-time,186000,00:05.0,SmartAsset
387860,ERM Data Analyst,Anywhere,Full-time,184000,01:04.0,Get It Recruit - Information Technology
